PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_KELUARGA,JUMLAH_SASARAN,JUMLAH_KRS,PENERIMA_BAAS,PENERIMA_BANTUAN_PANGAN,JUMLAH_BALITA_STUNTING,TERLALU_TUA,TERLALU_MUDA,TERLALU_BANYAK,TERLALU_DEKAT,SANITASI,SUMBER_AIR_MINUM,CATIN_SASARAN,CATIN_TERDAMPINGI,CATIN_TIDAK_TERDAMPINGI,CATIN_BERESIKO,BUMIL_SASARAN,BUMIL_TERDAMPINGI,BUMIL_TIDAK_TERDAMPINGI,BUMIL_BERESIKO,PASCASALIN_SASARAN,PASCASALIN_TERDAMPINGI,PASCASALIN_TIDAK_TERDAMPINGI,PASCASALIN_BERESIKO,BADUTA_SASARAN,BADUTA_TERDAMPINGI,BADUTA_TIDAK_TERDAMPINGI,BADUTA_BERESIKO,BULAN
SULAWESI BARAT,MAMUJU,KALUMPANG,KARATAUN,65,24,18,18,12,3,1,9,8,0,12,2,4,3,1,1,16,12,4,0,10,5,5,5,0,0,0,0,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,KARAMA,58,22,15,12,9,5,5,7,1,2,15,0,0,0,0,0,17,7,10,4,8,8,0,4,9,9,0,5,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,SIRAUN,74,37,13,2,0,0,0,3,9,1,8,0,0,0,0,0,25,14,11,9,22,3,19,2,19,9,10,19,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,TUMOGA,98,42,25,6,0,0,0,16,3,6,14,1,8,2,6,2,21,8,13,2,9,5,4,1,13,4,9,0,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,SALUMAKKI,50,57,45,3,2,1,1,29,8,3,9,9,3,3,0,2,32,30,2,27,32,14,18,9,53,50,3,2,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,POLIO,82,61,59,57,1,0,0,3,3,47,36,22,16,13,3,13,32,23,9,6,12,1,11,0,33,17,16,19,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,LIMBONG,60,61,32,1,1,0,0,25,3,3,30,2,7,4,3,4,41,12,29,10,32,32,0,14,1,0,1,0,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,SANDAPANG,39,46,44,0,0,0,0,41,0,3,25,14,4,0,4,0,22,11,11,1,20,2,18,2,28,12,16,0,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,KONDO BULO,31,35,28,25,11,1,0,3,7,16,16,10,1,1,0,0,28,22,6,9,13,12,1,6,32,2,30,15,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,MAKKALIKI,82,73,65,18,0,0,0,47,3,4,9,25,0,0,0,0,43,10,33,4,29,2,27,1,44,18,26,19,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,BATU MAKKADA,42,63,16,15,2,1,0,1,14,1,7,8,6,1,5,1,53,43,10,42,2,0,2,0,33,23,10,25,FEBRUARI
SULAWESI BARAT,MAMUJU,KALUMPANG,LASA',95,47,33,23,0,0,0,8,10,12,6,20,11,8,3,7,10,6,4,6,5,2,3,1,31,21,10,12,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,TOABO,84,12,7,6,3,0,0,7,0,0,7,0,3,0,3,0,11,11,0,0,10,10,0,9,14,11,3,12,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,PAPALANG,85,24,11,2,2,1,0,2,4,1,4,7,3,1,2,0,10,7,3,0,5,4,1,1,9,2,7,3,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,BONDA,72,68,0,0,0,0,0,0,0,0,0,0,6,3,3,3,10,6,4,3,7,3,4,2,20,19,1,19,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,TOPORE,88,42,23,20,17,12,0,8,4,10,19,3,4,0,4,0,14,14,0,0,8,2,6,1,10,5,5,10,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,SALUKAYU,48,24,11,3,2,1,0,8,1,1,5,0,7,0,7,0,17,10,7,8,1,1,0,1,11,5,6,0,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,SUKADAMAI,53,50,48,29,9,5,3,17,4,8,6,31,4,3,1,0,40,24,16,11,20,20,0,2,44,17,27,12,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,BODA-BODA,42,69,68,30,13,2,0,15,8,14,55,3,5,4,1,1,60,58,2,55,10,3,7,1,0,0,0,0,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,SISANGO,90,41,3,0,0,0,0,0,2,0,0,1,12,0,12,0,25,25,0,17,8,5,3,0,20,12,8,7,FEBRUARI
SULAWESI BARAT,MAMUJU,PAPALANG,BATU AMPA,63,39,39,5,1,1,1,22,8,5,30,7,7,0,7,0,17,17,0,16,7,6,1,4,11,5,6,9,FEBRUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,BUNDE,75,78,72,70,30,17,0,33,30,9,19,33,8,0,8,0,15,11,4,11,14,10,4,8,21,7,14,18,FEBRUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,KALONDING,53,64,28,24,22,5,5,5,10,1,1,6,7,3,4,3,62,14,48,8,18,17,1,12,21,9,12,14,FEBRUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,TARAILU,57,25,17,16,14,6,2,10,3,2,15,2,5,4,1,1,16,16,0,4,0,0,0,0,12,12,0,12,FEBRUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,SAMPAGA,97,52,3,0,0,0,0,0,2,1,0,1,6,4,2,3,20,5,15,3,5,5,0,5,16,16,0,4,FEBRUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,TANAMBUAH,47,50,49,22,2,0,0,46,2,0,8,4,4,2,2,2,12,5,7,1,0,0,0,0,7,5,2,1,FEBRUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,SALUBARANA,61,36,27,6,5,1,0,10,7,3,17,10,10,10,0,3,11,7,4,7,11,9,2,5,0,0,0,0,FEBRUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,LOSSO,88,19,0,0,0,0,0,0,0,0,0,0,17,3,14,3,13,9,4,0,12,7,5,0,25,20,5,15,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,TOMMO,78,70,58,28,11,4,4,19,16,0,6,13,11,2,9,0,54,54,0,8,26,6,20,3,0,0,0,0,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,CAMPALOGA,54,62,9,6,3,2,2,4,1,0,2,7,10,1,9,1,62,44,18,44,31,4,27,1,1,1,0,1,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,BUANA SAKTI,49,25,17,12,1,0,0,6,8,0,14,2,5,4,1,0,16,16,0,2,3,2,1,1,5,4,1,2,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,TAMEMONGGA,60,39,25,23,22,19,15,6,2,2,16,7,7,7,0,3,13,11,2,0,7,2,5,2,2,0,2,1,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,TAMEJARRA,32,67,55,36,6,1,1,52,2,0,40,15,5,3,2,2,42,12,30,8,12,6,6,4,18,1,17,1,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,RANTEMARIO,37,69,17,4,3,1,0,6,3,7,14,3,2,0,2,0,60,35,25,1,0,0,0,0,39,27,12,23,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,MALINO,94,37,29,19,19,11,0,15,1,11,11,0,13,11,2,4,34,29,5,3,2,1,1,0,16,12,4,13,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,KAKULLASANG,53,64,57,53,9,8,4,38,0,3,27,3,5,4,1,3,61,26,35,23,9,2,7,0,45,14,31,16,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,LELING,94,48,23,23,23,2,0,4,1,6,9,2,15,12,3,3,43,11,32,7,39,13,26,2,0,0,0,0,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,KALEPU,71,30,18,9,4,1,0,3,2,0,16,1,0,0,0,0,30,17,13,4,14,14,0,12,4,4,0,4,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,SANDANA,98,28,25,8,3,2,2,9,0,4,2,6,15,14,1,13,18,18,0,13,5,1,4,0,21,13,8,5,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,LELING BARAT,97,44,18,4,4,2,1,7,1,0,3,7,11,10,1,4,25,22,3,22,4,4,0,2,25,17,8,11,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,LELING UTARA,60,45,1,0,0,0,0,1,0,0,1,0,6,4,2,4,21,15,6,2,12,5,7,3,39,1,38,27,FEBRUARI
SULAWESI BARAT,MAMUJU,TOMMO,SALUDENGEN,65,24,2,2,0,0,0,1,1,0,0,0,5,1,4,0,16,8,8,4,11,10,1,5,7,3,4,5,FEBRUARI
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SIMBORO,78,41,37,27,25,4,1,21,1,12,17,1,4,4,0,0,35,19,16,18,0,0,0,0,16,6,10,11,FEBRUARI
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,RANGAS,36,37,27,26,12,11,8,11,4,2,18,5,1,0,1,0,28,18,10,5,7,6,1,5,2,1,1,0,FEBRUARI
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,BOTTENG,39,36,15,0,0,0,0,4,1,5,2,13,5,0,5,0,31,5,26,2,15,11,4,6,12,7,5,11,FEBRUARI
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SALETTO,78,34,15,6,4,0,0,3,9,1,10,5,5,4,1,3,28,28,0,4,23,11,12,6,0,0,0,0,FEBRUARI
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SUMARE,85,10,5,1,0,0,0,1,2,0,3,2,4,1,3,1,10,7,3,1,7,0,7,0,12,7,5,11,FEBRUARI
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,BOTTENG UTARA,38,43,6,1,0,0,0,2,2,2,2,0,0,0,0,0,11,5,6,4,4,1,3,0,16,1,15,1,FEBRUARI
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,TAPANDULLU,49,36,5,1,1,1,1,3,1,0,3,1,8,0,8,0,30,27,3,16,7,2,5,0,26,21,5,11,FEBRUARI
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,PATI'DI,59,12,4,4,0,0,0,3,0,1,3,1,6,3,3,1,12,9,3,1,12,11,1,9,18,2,16,2,FEBRUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,DUNGKAIT,62,69,39,33,12,7,5,9,23,2,17,1,6,6,0,3,66,14,52,14,28,21,7,10,4,4,0,1,FEBRUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,LEBANI,94,13,11,10,2,1,1,1,5,4,5,3,0,0,0,0,10,9,1,2,9,3,6,0,4,4,0,0,FEBRUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,LABUANG RANO,91,28,20,5,1,1,0,7,2,11,15,2,11,8,3,8,12,8,4,4,10,0,10,0,11,2,9,7,FEBRUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,PASABU,41,52,33,8,3,1,0,3,9,19,1,30,0,0,0,0,29,23,6,10,21,10,11,0,56,47,9,7,FEBRUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,TANETE PAO,46,32,11,4,4,1,0,4,7,0,6,5,6,0,6,0,30,30,0,4,7,2,5,2,12,0,12,4,FEBRUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,PANGASAAN,67,61,41,14,1,1,0,17,19,0,31,0,8,8,0,1,30,12,18,6,14,2,12,0,56,5,51,9,FEBRUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,AHU,96,55,39,11,2,1,0,24,12,3,28,5,18,16,2,8,25,20,5,2,16,6,10,4,52,52,0,23,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,BONEHAU,59,61,1,0,0,0,0,1,0,0,1,0,6,2,4,2,42,21,21,8,3,3,0,2,16,5,11,9,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,SALUTIWO,85,50,14,9,8,0,0,6,3,2,3,4,2,0,2,0,15,6,9,6,12,1,11,1,26,24,2,18,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,BUTTUADA,35,21,6,4,0,0,0,2,1,2,5,0,7,1,6,0,13,5,8,5,11,2,9,1,15,11,4,15,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,TAMALEA,86,56,5,1,1,1,1,0,1,3,2,0,0,0,0,0,30,25,5,15,20,20,0,14,4,3,1,1,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,LUMIKA,69,15,12,4,0,0,0,10,0,0,12,0,1,1,0,0,10,9,1,9,8,0,8,0,7,7,0,5,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,MAPPU,58,33,12,12,5,5,5,1,0,0,3,4,8,1,7,0,19,16,3,5,18,6,12,4,9,6,3,2,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,BANUADA,57,69,9,3,3,0,0,9,0,0,0,9,0,0,0,0,30,8,22,5,13,10,3,2,13,1,12,3,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,HINUA,57,71,63,44,9,2,2,22,12,17,22,30,6,3,3,1,33,27,6,10,0,0,0,0,34,33,1,16,FEBRUARI
SULAWESI BARAT,MAMUJU,BONEHAU,KINATANG,76,57,20,14,12,11,2,3,6,4,8,7,13,7,6,3,13,7,6,5,10,8,2,8,43,22,21,10,FEBRUARI
SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,BALA BALAKANG,95,41,12,7,3,0,0,7,5,0,12,0,17,16,1,9,34,13,21,13,22,9,13,5,40,11,29,1,FEBRUARI
SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,BALA-BALAKANG TIMUR,34,75,34,30,7,3,2,0,31,0,4,21,1,1,0,1,66,66,0,18,1,1,0,1,4,4,0,2,FEBRUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,41,17,6,2,0,0,0,3,0,0,5,0,3,2,1,2,12,6,6,5,12,7,5,1,18,15,3,6,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,65,48,13,4,2,1,1,4,7,1,3,6,9,3,6,1,26,19,7,0,9,6,3,2,15,9,6,3,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,94,36,12,5,4,0,0,5,5,0,7,3,10,6,4,4,26,12,14,0,23,21,2,17,15,6,9,14,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,63,80,48,37,18,3,2,18,22,2,47,1,9,7,2,4,21,11,10,11,21,17,4,9,38,2,36,9,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,44,40,14,10,4,3,2,10,1,1,3,0,2,1,1,1,11,11,0,4,4,1,3,1,19,10,9,18,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,58,72,19,19,2,0,0,4,12,3,15,3,6,3,3,1,62,43,19,20,58,16,42,5,27,4,23,15,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,75,52,47,35,32,27,19,3,17,3,19,6,0,0,0,0,25,20,5,1,7,1,6,0,18,6,12,3,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,89,13,12,3,2,1,0,10,2,0,4,0,8,1,7,1,13,8,5,3,13,7,6,6,4,3,1,4,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,66,29,9,4,4,1,0,6,1,1,2,5,8,3,5,0,15,7,8,6,6,4,2,4,3,3,0,2,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,89,26,21,10,8,3,0,10,1,7,3,15,16,14,2,14,16,14,2,7,9,9,0,0,16,0,16,5,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,51,42,16,4,1,1,0,4,1,5,1,14,3,1,2,0,39,6,33,2,22,7,15,4,37,16,21,31,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,87,58,47,26,16,14,10,36,0,0,6,9,4,0,4,0,15,9,6,7,1,0,1,0,20,4,16,0,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,78,77,8,4,4,0,0,2,0,3,1,0,4,1,3,1,50,20,30,5,16,12,4,8,40,26,14,28,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,100,67,42,20,18,11,8,12,13,1,6,32,1,0,1,0,27,6,21,4,16,8,8,7,62,6,56,18,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,72,77,43,17,5,0,0,25,8,2,28,0,7,1,6,0,48,48,0,38,36,6,30,3,81,16,65,69,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,41,44,13,4,2,2,2,10,1,0,5,3,1,0,1,0,35,31,4,19,16,0,16,0,32,18,14,11,MARET
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,93,13,11,3,3,3,2,8,0,1,5,3,5,1,4,0,10,8,2,6,8,4,4,0,11,10,1,6,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,51,22,7,5,5,0,0,1,2,4,0,2,10,0,10,0,22,18,4,6,10,9,1,4,21,13,8,8,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,85,32,20,8,0,0,0,10,1,7,7,13,17,12,5,7,18,11,7,3,9,4,5,4,4,0,4,0,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,45,36,12,6,2,1,0,6,2,0,3,2,4,3,1,1,15,12,3,3,14,8,6,5,23,8,15,15,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,36,43,43,38,5,2,2,7,27,0,37,3,1,1,0,0,23,7,16,6,4,3,1,2,20,11,9,11,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,72,18,2,2,1,1,1,0,1,0,2,0,8,4,4,1,12,9,3,2,6,3,3,3,7,1,6,7,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,100,60,14,7,3,3,2,10,1,1,14,0,19,11,8,2,28,18,10,3,8,3,5,3,11,5,6,4,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,49,63,60,4,0,0,0,55,1,0,1,59,4,1,3,0,55,51,4,33,19,18,1,0,61,45,16,11,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,68,72,47,36,22,21,16,21,5,0,1,37,5,1,4,1,49,32,17,15,21,11,10,7,1,1,0,0,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,64,24,15,4,1,1,0,3,1,11,8,4,2,2,0,0,17,8,9,6,1,0,1,0,0,0,0,0,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,56,18,13,0,0,0,0,2,6,2,5,6,4,0,4,0,11,8,3,2,0,0,0,0,6,0,6,4,MARET
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,33,74,22,10,10,4,4,3,14,1,7,15,3,0,3,0,70,22,48,17,26,11,15,5,22,15,7,10,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,42,64,33,7,3,1,0,22,4,7,13,20,3,0,3,0,15,14,1,9,0,0,0,0,26,13,13,16,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,81,69,57,11,0,0,0,18,2,27,32,5,9,0,9,0,29,26,3,5,16,4,12,2,30,9,21,0,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,78,33,0,0,0,0,0,0,0,0,0,0,2,1,1,0,11,9,2,2,5,3,2,0,21,3,18,2,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,70,76,31,3,3,2,0,12,12,7,14,6,4,1,3,0,44,29,15,24,0,0,0,0,24,19,5,1,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,62,12,1,1,1,1,0,0,1,0,1,0,5,3,2,1,12,12,0,10,7,4,3,1,8,4,4,2,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,51,13,13,8,7,3,3,5,3,1,7,5,4,4,0,0,10,7,3,5,5,3,2,1,7,4,3,7,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,55,31,24,18,14,11,7,3,11,0,10,1,3,0,3,0,26,5,21,5,2,0,2,0,20,13,7,7,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,99,25,18,10,9,5,0,5,5,8,12,6,8,1,7,0,17,17,0,11,16,5,11,0,18,17,1,17,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,98,10,6,0,0,0,0,6,0,0,2,0,6,2,4,1,10,8,2,2,2,0,2,0,6,3,3,4,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,68,17,13,1,0,0,0,8,0,1,13,0,10,10,0,6,15,9,6,2,8,8,0,1,7,1,6,2,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,47,64,21,3,1,0,0,4,10,1,14,6,3,1,2,1,61,30,31,7,20,11,9,6,14,14,0,13,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,97,53,12,11,4,2,1,3,5,1,10,1,8,4,4,1,31,25,6,6,31,18,13,2,50,12,38,39,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,68,54,8,6,6,2,2,6,0,0,6,0,1,1,0,1,36,14,22,9,26,24,2,8,2,1,1,1,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,50,73,13,12,3,3,1,8,1,1,12,0,6,4,2,4,20,11,9,4,3,0,3,0,39,10,29,35,MARET
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,33,27,1,1,0,0,0,1,0,0,1,0,6,1,5,1,16,7,9,6,1,0,1,0,7,4,3,6,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,36,37,37,26,3,2,2,17,18,0,28,9,3,0,3,0,23,16,7,10,15,13,2,1,17,9,8,11,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,57,20,1,1,1,1,0,0,1,0,0,1,9,6,3,6,19,7,12,0,14,14,0,13,17,3,14,14,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,79,77,0,0,0,0,0,0,0,0,0,0,5,1,4,1,15,12,3,3,7,1,6,0,3,1,2,3,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KADAILA,66,39,34,33,15,6,5,8,10,2,17,1,2,2,0,2,10,5,5,5,6,3,3,0,32,19,13,21,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAYU CALLA,33,35,9,3,0,0,0,9,0,0,6,0,2,2,0,1,18,18,0,3,13,1,12,0,37,23,14,26,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,84,63,48,42,11,5,2,27,0,14,13,8,12,12,0,6,58,20,38,19,42,24,18,3,25,19,6,4,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,BENGGAULU,86,51,51,47,40,6,5,20,24,0,27,10,6,6,0,3,38,35,3,13,38,38,0,18,33,27,6,10,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SUKA MAJU,63,41,23,10,8,7,1,9,0,13,12,3,10,0,10,0,31,16,15,14,12,4,8,3,29,8,21,2,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAMBUNONG,39,74,17,1,1,1,0,13,1,3,17,0,1,0,1,0,33,7,26,4,9,5,4,5,32,19,13,9,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SALUBIRO,55,64,51,26,12,7,6,7,37,0,34,8,9,5,4,0,29,13,16,6,24,22,2,12,20,10,10,6,MARET
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SANJANGO,99,20,12,9,2,0,0,8,4,0,6,1,4,4,0,2,15,13,2,0,1,0,1,0,8,1,7,7,MARET
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,30,67,46,33,7,4,4,41,0,0,23,4,1,0,1,0,41,36,5,2,29,14,15,6,50,34,16,10,MARET
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,97,29,0,0,0,0,0,0,0,0,0,0,12,1,11,1,21,6,15,3,21,13,8,12,38,22,16,33,MARET
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,59,68,59,36,16,13,2,29,18,2,27,20,7,0,7,0,11,5,6,3,2,1,1,0,28,19,9,10,MARET
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,58,22,12,5,4,1,0,0,11,1,1,2,6,6,0,6,22,15,7,0,20,9,11,0,25,20,5,2,MARET
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,75,42,15,12,1,1,0,0,4,7,15,0,12,12,0,2,23,22,1,14,6,1,5,0,8,8,0,5,MARET
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,94,19,7,0,0,0,0,4,3,0,0,4,3,3,0,0,18,6,12,5,18,7,11,3,31,10,21,19,MARET
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,51,56,11,4,2,1,0,6,1,0,5,0,9,7,2,2,41,33,8,22,16,8,8,6,5,3,2,1,MARET
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,90,36,36,17,11,4,1,10,17,0,21,0,6,0,6,0,32,8,24,0,32,25,7,0,53,18,35,43,MARET
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,71,59,21,9,8,8,0,6,6,0,11,9,7,5,2,0,43,24,19,10,11,9,2,6,29,4,25,1,MARET
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,49,47,45,10,4,3,0,31,3,6,17,23,5,1,4,0,16,7,9,5,11,8,3,4,2,2,0,0,MARET
SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,40,51,32,22,15,8,6,16,0,5,19,0,6,2,4,1,18,11,7,4,12,11,1,9,30,11,19,18,MARET
SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,43,59,59,1,0,0,0,52,0,6,36,1,0,0,0,0,52,26,26,4,10,8,2,1,4,1,3,2,MARET
SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,61,73,6,3,0,0,0,2,2,0,4,0,9,4,5,3,30,22,8,14,30,30,0,28,29,8,21,24,MARET
SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,71,72,2,0,0,0,0,0,2,0,0,1,0,0,0,0,49,31,18,15,29,8,21,7,74,74,0,42,MARET
SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,80,80,13,12,0,0,0,3,3,5,13,0,7,2,5,1,76,45,31,12,41,27,14,12,82,19,63,53,MARET
SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,45,37,5,3,0,0,0,0,3,1,2,1,5,0,5,0,14,6,8,0,4,1,3,0,10,2,8,1,MARET
